State,beta_min,beta_max,beta_opt,gamma_min,gamma_max,gamma_opt,R0_min,R0_max,R0_opt,N_min,N_max,N_opt,C_inf,T_start,T_end,data points dropped
PA,0.151133964,0.232272726,0.183134026,0.060123827,0.143161894,0.092571769,1.622447977,2.513711633,1.978292391,79120,105652,88671,71055,737856,737927,0
PR,0.047511501,0.25743701,0.093913211,0.01188433,0.224380624,0.059407013,1.147322817,3.997827411,1.580843847,6994,25596,10785,7076,737866,737927,0
RI,0.194555181,0.273452489,0.227533013,0.079135431,0.158593818,0.112049907,1.724231702,2.458509136,2.030639904,16140,20059,17667,14298,737851,737927,0
SC,0.099951566,0.25896601,0.146297134,0.033512078,0.195613448,0.08037365,1.323866087,2.982553545,1.820212639,11665,23109,14522,10982,737857,737927,0
SD,0.107692335,0.617056976,0.185461448,0.026938147,0.541471373,0.104993178,1.139592979,3.997763235,1.766414272,5459,21523,7410,5411,737861,737927,0
TN,0.080155423,0.761213329,0.23782527,0.020041423,0.703159853,0.178255806,1.082560852,3.99948761,1.334179655,27823,165567,56722,26477,737855,737925,2
TX,0.069813285,0.503128716,0.129940852,0.017454326,0.453601323,0.078415216,1.109187057,3.999769703,1.657087226,95283,461221,140418,95925,737854,737927,0
US,0.139520783,0.222557151,0.171713612,0.056042354,0.140153501,0.088411051,1.587952849,2.48955965,1.94221887,1993858,2736292,2259382,1774314,737812,737928,0
UT,0.076719133,0.445601141,0.137397436,0.019187163,0.390684228,0.080055255,1.140565985,3.998461549,1.71628254,11109,42297,15398,10982,737857,737927,0
VA,0.105289516,0.361287948,0.170399533,0.034513292,0.291634243,0.099757712,1.238839253,3.05069467,1.708133931,57802,142535,77525,54358,737858,737927,0
VT,0.260865765,0.350471611,0.277065929,0.070748921,0.165115914,0.076557194,2.12257924,3.687204853,3.619071099,935,1107,934,907,737858,737927,0
WA,0.134892825,0.191002039,0.1569632,0.05112735,0.109998846,0.074206753,1.73640038,2.638369182,2.115214504,21258,27215,23430,19479,737812,737927,0
WI,0.058956179,0.309565318,0.117442194,0.014741485,0.26637364,0.073601372,1.162146971,3.999337955,1.595652233,34944,119354,53440,34794,737854,737927,0
WV,0.136080496,0.209669353,0.164943521,0.052340383,0.129032783,0.082013215,1.624930869,2.599914041,2.011182245,1793,2387,2000,1645,737868,737927,0
WY,0.189241088,0.28317303,0.223596447,0.069044462,0.170530448,0.106206884,1.66054235,2.740858314,2.105291466,459,618,512,429,737862,737909,18
