State,beta_min,beta_max,beta_opt,gamma_min,gamma_max,gamma_opt,R0_min,R0_max,R0_opt,N_min,N_max,N_opt,C_inf,T_start,T_end,data points dropped
IA,0.145551557,0.795859659,0.284631742,0.036398423,0.688590483,0.176037916,1.155780799,3.998842353,1.616877481,6690,24208,10195,6689,737859,737899,8
ID,0.345085179,0.421819112,0.373616251,0.114865066,0.204656771,0.150441086,2.06110509,3.004265716,2.483472179,1960,2302,2096,1877,737864,737907,0
IL,0.115882534,0.766282573,0.218738079,0.028971352,0.682380778,0.132701234,1.122954512,3.999900822,1.648349997,96867,428541,144508,97417,737854,737907,0
IN,0.161475138,0.419343831,0.236450185,0.058331509,0.31971625,0.13431936,1.311612502,2.768231791,1.76035819,25206,51159,32081,23297,737856,737907,0
KS,0.088726304,0.21165447,0.184988731,0.022181854,0.146201724,0.119386011,1.447687922,3.9999499,1.549500895,12535,23436,21027,13038,737858,737904,3
KY,0.134652059,1.017743542,0.242874563,0.033686237,0.92033764,0.142390365,1.105837138,3.997242458,1.705695207,7144,35551,10171,7121,737857,737907,0
LA,0.357488312,0.427432955,0.388044346,0.122074544,0.194527907,0.153528871,2.197283479,2.928442734,2.527500805,28786,31987,30112,27055,737859,737907,0
MA,0.171313719,0.496515155,0.263640032,0.060290092,0.387169233,0.152683689,1.2824241,2.841490405,1.72670724,96321,207249,124930,88724,737862,737907,0
MD,0.177041179,0.498620444,0.267112435,0.063294271,0.387636321,0.154104101,1.286309918,2.797112218,1.733324642,34242,73946,44488,31640,737856,737907,0
ME,0.136162756,0.368128888,0.201400839,0.040846168,0.277124418,0.106268459,1.328388494,3.333550341,1.895208058,1346,2674,1654,1297,737862,737907,0
MI,0.160189479,0.28309656,0.205855774,0.063549038,0.187620038,0.109285137,1.50888233,2.520722342,1.883657549,55230,80955,63995,49358,737851,737907,0
MN,0.099054378,0.439964029,0.200179001,0.02477559,0.366821638,0.12638374,1.199394973,3.998063267,1.583898381,9503,28312,14841,9500,737857,737904,3
MO,0.213342329,0.3424186,0.262807884,0.0849017,0.216599262,0.135075969,1.580885348,2.51281575,1.945630195,9620,13294,10920,8630,737858,737907,0
MS,0.128471189,0.530991174,0.221233758,0.040043452,0.444495835,0.133105547,1.194592012,3.208294552,1.662092698,11833,33901,16445,11234,737862,737907,0
MT,0.339835794,0.473204378,0.397972182,0.129468223,0.264727277,0.187087491,1.787516508,2.624858711,2.12719824,506,622,551,459,737862,737907,0
NC,0.127108789,0.537420554,0.214852772,0.038391853,0.451965863,0.127067727,1.189073329,3.310827129,1.690852413,17292,52313,24079,16739,737854,737907,0
ND,0.104263477,0.208341681,0.104800089,0.026067645,0.130106749,0.026200022,1.601313402,3.999727562,4,4357,6642,4235,4161,737862,737903,4
NE,0.149161282,0.71355793,0.292119325,0.037330917,0.603985473,0.181229582,1.181415715,3.995650098,1.611874412,3693,12168,5733,3739,737857,737900,7
NH,0.146013876,0.497630072,0.232927617,0.045211298,0.399766291,0.132454773,1.244802485,3.229588216,1.758544538,2820,6956,3718,2693,737854,737907,0
NJ,0.205180555,0.359063122,0.26239427,0.084254936,0.240216124,0.141924251,1.494750291,2.43523482,1.848833229,160633,237215,186940,141750,737855,737907,0
NM,0.117506897,0.703128449,0.22508687,0.029399409,0.617934891,0.137949115,1.137868178,3.996913506,1.631665929,6427,25912,9723,6476,737861,737907,0
NV,0.192116747,0.331586843,0.243599951,0.076455477,0.218667556,0.12866299,1.516397078,2.512792488,1.89331797,6541,9578,7570,5861,737855,737907,0
NY,0.206921001,0.313033998,0.249106166,0.082170737,0.189986669,0.124716265,1.647662964,2.518183582,1.997383146,384989,505632,429402,345386,737854,737907,0
OH,0.12040269,0.560430753,0.237207337,0.030106105,0.473227031,0.148374482,1.184274601,3.999278142,1.598707095,28868,94379,45388,29460,737859,737899,8
OK,0.216454881,0.356685819,0.269612116,0.08602183,0.229008158,0.139834185,1.557524511,2.516278488,1.928084439,4428,6247,5059,3968,737857,737907,0
OR,0.182024037,0.303150672,0.227527495,0.072341753,0.196107828,0.118561425,1.545836669,2.516168459,1.919068492,3208,4570,3678,2877,737854,737907,0
PA,0.240635804,0.37471919,0.293192257,0.098978888,0.235266352,0.152118957,1.592744512,2.431183149,1.927388032,58020,78638,65559,51221,737856,737907,0
PR,0.201936439,0.469519721,0.277265907,0.056745538,0.331612283,0.133249956,1.415869511,3.558631156,2.080795481,1645,2956,1952,1615,737866,737907,0
RI,0.220300102,0.557560962,0.323834663,0.084296366,0.422813207,0.187903199,1.318693343,2.613399767,1.723412187,14094,27614,17960,12647,737851,737907,0
SC,0.182033054,0.350005711,0.239191799,0.068792872,0.240867215,0.127181321,1.453106482,2.646103412,1.880714851,7803,12514,9260,7132,737857,737907,0
SD,0.327617551,0.516298411,0.4003815,0.11761697,0.306115163,0.189519127,1.686614954,2.785461589,2.112617895,2932,3889,3271,2700,737861,737907,0
TN,0.086919692,0.515292787,0.164178809,0.021733709,0.454492785,0.100776581,1.133775505,3.999303193,1.629136524,22413,94274,34291,23013,737855,737907,0
TX,0.213303363,0.37781559,0.273455236,0.084952815,0.251544173,0.145576338,1.501985058,2.510845145,1.878431893,36669,54547,42725,32739,737854,737907,0
UT,0.102016967,0.652321747,0.185029199,0.025512324,0.580822463,0.10996777,1.123100067,3.998732795,1.682576625,7616,33417,11021,7672,737857,737907,0
VA,0.171294085,0.479343116,0.260794542,0.064159367,0.373769082,0.153966679,1.282457913,2.669821942,1.69383755,25155,53453,32810,22776,737858,737907,0
VT,0.244497243,2.898299624,1.138677195,0.061226889,2.720546085,0.957310134,1.065337448,3.993298487,1.189454865,977,7392,2997,913,737858,737894,13
WA,0.221461269,0.281312856,0.247626689,0.088673,0.149149526,0.114903067,1.886112973,2.497505082,2.155092079,16683,19358,17787,14895,737812,737907,0
WI,0.076690538,0.400079541,0.14758195,0.01917707,0.346497646,0.091850524,1.154638554,3.999074791,1.606762197,15520,57900,24162,15998,737854,737907,0
WV,0.205303241,0.402146533,0.274074998,0.07618943,0.27604917,0.145138477,1.456793122,2.694642054,1.88836898,1411,2226,1662,1290,737868,737907,0
WY,0.225986519,0.315762834,0.260930917,0.08041602,0.175564678,0.117231872,1.798555598,2.810217657,2.225767728,419,525,457,392,737862,737907,0
