1.6415e+05+2i,1.6230e+05+2i,1.5924e+05+2i,1.5638e+05+2i,1.5323e+05+2i,1.5057e+05+1i,1.4824e+05+1i,1.4615e+05,1.4441e+05,1.4278e+05,1.412e+05,1.3967e+05,1.3821e+05,1.3688e+05,1.3562e+05,1.344e+05,1.3319e+05,1.3199e+05,1.3081e+05,1.2969e+05,1.2869e+05,1.278e+05,1.2713e+05,1.2658e+05,1.262e+05,1.2592e+05,1.2579e+05,1.2572e+05,1.2576e+05,1.2583e+05,1.2583e+05
1.6442e+05+5i,1.6288e+05+3i,1.6018e+05+2i,1.5768e+05+2i,1.5489e+05+1i,1.5259e+05+1i,1.5064e+05+1i,1.4896e+05+1i,1.4758e+05,1.4635e+05,1.452e+05,1.4412e+05,1.4324e+05,1.425e+05,1.4192e+05,1.4141e+05,1.4103e+05,1.4069e+05,1.4046e+05,1.4034e+05,1.4043e+05,1.4074e+05,1.4127e+05,1.4203e+05,1.4298e+05,1.4419e+05,1.456e+05,1.4731e+05,1.4908e+05,1.51e+05,1.5237e+05
1.6469e+05,1.6347e+05,1.6112e+05,1.59e+05,1.5662e+05,1.5474e+05,1.5325e+05,1.5197e+05,1.5107e+05,1.5036e+05,1.4979e+05,1.4937e+05,1.4921e+05,1.493e+05,1.4959e+05,1.5006e+05,1.5068e+05,1.5150e+05,1.5252e+05,1.539e+05,1.556e+05,1.5774e+05,1.6014e+05,1.6288e+05,1.6591e+05,1.6943e+05,1.7335e+05,1.7791e+05,1.8308e+05,1.8852e+05,1.9505e+05
1.6499e+05,1.6413e+05,1.6218e+05,1.6048e+05,1.5858e+05,1.572e+05,1.5625e+05,1.5556e+05+1i,1.5528e+05,1.5522e+05,1.5539e+05,1.5574e+05,1.5642e+05,1.5744e+05,1.5874e+05,1.6022e+05,1.6201e+05,1.6408e+05,1.6634e+05,1.6902e+05,1.7208e+05,1.7557e+05,1.7944e+05,1.8387e+05,1.8874e+05,1.9436e+05,2.0068e+05,2.0796e+05,2.1622e+05,2.2484e+05,2.3425e+05
1.6527e+05,1.6481e+05+1i,1.6338e+05+2i,1.6218e+05+2i,1.6082e+05+2i,1.6e+05+2i,1.5961e+05+1i,1.5958e+05,1.6e+05,1.607e+05,1.6168e+05,1.6285e+05,1.6442e+05,1.6632e+05,1.6856e+05,1.7109e+05,1.7394e+05,1.7713e+05,1.8068e+05,1.8463e+05,1.891e+05,1.9405e+05,1.9948e+05,2.0545e+05+2i,2.1207e+05,2.1937e+05,2.276e+05,2.3697e+05,2.4739e+05,2.5818e+05,2.695e+05
1.6563e+05+5i,1.6563e+05+3i,1.6472e+05+2i,1.6407e+05+2i,1.6329e+05+1i,1.6314e+05+1i,1.6348e+05+1i,1.6422e+05+1i,1.654e+05+1i,1.6694e+05,1.6879e+05,1.7094e+05,1.7347e+05,1.7638e+05,1.7967e+05,1.8324e+05,1.8719e+05,1.915e+05,1.9629e+05,2.0153e+05,2.0733e+05,2.1376e+05,2.2083e+05,2.2838e+05,2.3673e+05-1i,2.4602e+05,2.5614e+05,2.6719e+05,2.7957e+05,2.9231e+05,3.0628e+05
1.6622e+05+2i,1.6676e+05+4i,1.6645e+05+4i,1.6638e+05+4i,1.6624e+05+3i,1.6682e+05+2i,1.6797e+05+2i,1.6952e+05+1i,1.7160e+05+1i,1.7409e+05,1.7687e+05,1.7992e+05,1.8340e+05,1.8733e+05,1.9164e+05,1.9635e+05,2.015e+05,2.0709e+05,2.1305e+05,2.1947e+05,2.2644e+05,2.3406e+05-1i,2.4246e+05-1i,2.5179e+05-1i,2.6176e+05,2.7278e+05,2.847e+05,2.9746e+05,3.1177e+05,3.2611e+05,3.424e+05
1.6704e+05,1.683e+05+1i,1.6878e+05+2i,1.6953e+05+3i,1.7025e+05+3i,1.7173e+05+3i,1.7377e+05+2i,1.7625e+05+2i,1.7933e+05+1i,1.8283e+05,1.8665e+05,1.9079e+05,1.9542e+05,2.005e+05,2.0596e+05,2.1189e+05,2.1822e+05,2.2488e+05,2.3192e+05,2.395e+05,2.4766e+05,2.5669e+05,2.6661e+05,2.7742e+05,2.894e+05,3.0228e+05,3.1591e+05,3.3078e+05,3.476e+05,3.644e+05,3.8417e+05
1.6848e+05+5i,1.7055e+05+5i,1.7189e+05+5i,1.7352e+05+5i,1.7517e+05+4i,1.7763e+05+3i,1.807e+05+3i,1.8428e+05+1i,1.8844e+05+1i,1.9304e+05,1.9791e+05,2.0314e+05,2.0888e+05,2.1515e+05,2.2187e+05,2.2911e+05,2.3686e+05,2.4501e+05,2.5335e+05,2.6236e+05,2.7208e+05,2.8276e+05,2.9451e+05,3.0756e+05,3.2159e+05,3.3679e+05,3.53e+05,3.7e+05,3.8845e+05,4.0724e+05,4.2873e+05
1.7055e+05+5i,1.7364e+05+5i,1.7608e+05+5i,1.7888e+05+5i,1.8184e+05+5i,1.8564e+05+15i,1.9019e+05+3i,1.9531e+05+2i,2.0094e+05+1i,2.0688e+05,2.1307e+05,2.1949e+05,2.2633e+05,2.3374e+05,2.418e+05,2.5041e+05,2.5966e+05,2.695e+05,2.7997e+05,2.91e+05,3.0285e+05,3.1572e+05,3.2965e+05,3.4486e+05,3.6124e+05,3.789e+05,3.9785e+05,4.1796e+05,4.4023e+05,4.6288e+05,4.8967e+05
1.7396e+05+5i,1.7857e+05+11i,1.8265e+05+16i,1.8723e+05+20i,1.9206e+05+19i,1.9783e+05+4i,2.0445e+05+3i,2.117e+05+2i,2.1937e+05+1i,2.2733e+05,2.3556e+05,2.4399e+05,2.5285e+05,2.6248e+05,2.7287e+05,2.8396e+05,2.958e+05,3.0842e+05,3.2159e+05,3.3528e+05,3.497e+05,3.6523e+05+7i,3.8209e+05,4.006e+05,4.2096e+05,4.4276e+05,4.6647e+05,4.9118e+05,5.1733e+05,5.4433e+05,5.7485e+05
1.7659e+05+5i,1.8265e+05+5i,1.8843e+05+5i,1.9462e+05+5i,2.0123e+05+5i,2.0887e+05+4i,2.1734e+05+10i,2.2641e+05+5i,2.3597e+05+1i,2.4565e+05,2.5559e+05,2.6601e+05,2.7696e+05,2.8864e+05,3.0136e+05,3.1476e+05,3.2887e+05,3.4379e+05,3.5944e+05,3.7572e+05,3.9316e+05+11i,4.118e+05,4.3196e+05,4.5332e+05,4.7658e+05,5.0204e+05,5.2946e+05,5.5882e+05,5.9091e+05,6.2346e+05,6.6135e+05
1.7952e+05+5i,1.8732e+05+5i,1.9476e+05+5i,2.0287e+05+5i,2.115e+05+5i,2.214e+05+4i,2.3242e+05+3i,2.4427e+05+2i,2.5691e+05+1i,2.7005e+05,2.8362e+05+1i,2.9769e+05+2i,3.1212e+05+5i,3.2729e+05+8i,3.4339e+05+11i,3.6053e+05+15i,3.7853e+05+17i,3.9790e+05+17i,4.1826e+05+16i,4.3943e+05+14i,4.6139e+05,4.8512e+05,5.1048e+05,5.3791e+05,5.6794e+05+1i,6.0149e+05,6.3784e+05,6.7693e+05,7.2011e+05,7.6412e+05,8.1389e+05
