"date","positive","death","positiveIncrease","deathIncrease"
2020-11-28,99660,913,1160,4
2020-11-29,100484,920,824,7
2020-11-30,101698,929,1214,9
2020-12-01,103305,960,1607,31
2020-12-02,104734,991,1429,31
2020-12-03,106455,1014,1721,23
2020-12-04,108366,1032,1911,18
2020-12-05,109705,1032,1339,0
2020-12-06,110510,1035,805,3
2020-12-07,111893,1055,1383,20
2020-12-08,113905,1074,2012,19
2020-12-09,116203,1103,2298,29
2020-12-10,118028,1136,1825,33
2020-12-11,119610,1151,1582,15
2020-12-12,120632,1169,1022,18
2020-12-13,121179,1175,547,6
2020-12-14,122217,1194,1038,19
2020-12-15,124019,1214,1802,20
2020-12-16,125452,1231,1433,17
2020-12-17,126878,1259,1426,28
2020-12-18,128218,1275,1340,16
2020-12-19,129069,1275,851,0
2020-12-20,129960,1280,891,5
2020-12-21,130877,1301,917,21
2020-12-22,132594,1313,1717,12
2020-12-23,133985,1324,1391,11
2020-12-24,135233,1349,1248,25
2020-12-25,135233,1349,0,0
2020-12-26,135787,1354,554,5
2020-12-27,136215,1354,428,0
2020-12-28,137010,1377,795,23
2020-12-29,138524,1393,1514,16
2020-12-30,139864,1403,1340,10
2020-12-31,141077,1436,1213,33
