"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"IN","1 wk ahead cum death",1016,1115,99,813,0.327814569536424,"2020-04-26","2020-05-02"
"IN","2 wk ahead cum case",23082,23732,650,15012,0.0745412844036697,"2020-04-26","2020-05-09"
"IN","2 wk ahead cum death",1287,1490,203,813,0.299852289512555,"2020-04-26","2020-05-09"
"IN","3 wk ahead cum case",27932,27280,-652,15012,-0.0531463971307467,"2020-04-26","2020-05-16"
"IN","3 wk ahead cum death",1591,1741,150,813,0.161637931034483,"2020-04-26","2020-05-16"
"IN","4 wk ahead cum case",33869,30901,-2968,15012,-0.186795896532192,"2020-04-26","2020-05-23"
"IN","4 wk ahead cum death",1924,1964,40,813,0.0347523892267593,"2020-04-26","2020-05-23"
"IA","1 wk ahead cum case",8312,8643,331,5476,0.104515314177455,"2020-04-26","2020-05-02"
"IA","1 wk ahead cum death",185,175,-10,118,-0.175438596491228,"2020-04-26","2020-05-02"
"IA","2 wk ahead cum case",12643,11671,-972,5476,-0.156900726392252,"2020-04-26","2020-05-09"
"IA","2 wk ahead cum death",325,252,-73,118,-0.544776119402985,"2020-04-26","2020-05-09"
"IA","3 wk ahead cum case",19721,14328,-5393,5476,-0.609240849525531,"2020-04-26","2020-05-16"
"IA","3 wk ahead cum death",516,346,-170,118,-0.745614035087719,"2020-04-26","2020-05-16"
"IA","4 wk ahead cum case",32956,16898,-16058,5476,-1.40588338294519,"2020-04-26","2020-05-23"
"IA","4 wk ahead cum death",732,446,-286,118,-0.871951219512195,"2020-04-26","2020-05-23"
"KS","1 wk ahead cum case",4671,4885,214,3277,0.133084577114428,"2020-04-26","2020-05-02"
"KS","1 wk ahead cum death",159,142,-17,121,-0.80952380952381,"2020-04-26","2020-05-02"
"KS","2 wk ahead cum case",6711,6829,118,3277,0.0332207207207207,"2020-04-26","2020-05-09"
"KS","2 wk ahead cum death",231,174,-57,121,-1.07547169811321,"2020-04-26","2020-05-09"
"KS","3 wk ahead cum case",9340,7939,-1401,3277,-0.300514800514801,"2020-04-26","2020-05-16"
"KS","3 wk ahead cum death",322,195,-127,121,-1.71621621621622,"2020-04-26","2020-05-16"
"KS","4 wk ahead cum case",13588,8946,-4642,3277,-0.818839301464103,"2020-04-26","2020-05-23"
